Longitude;Latitude;geohash;unique_prefix
1.53;42.51;sp91ffdnew49;sp91ffd
55.47;25.42;thx2w7840xqy;thx2w78
55.47;25.39;thx2qq052wyv;thx2qq0
54.38;24.48;thqem2qq3fet;thqem2q
54.54;24.51;thqg3jfv45hq;thqg3jf
54.49;24.4;thqdzcykm1d5;thqdzcy
54.49;24.4;thqdzcykm1d5;thqdzcy
54.61;24.46;thqg4svcc4rc;thqg4sv
55.69;24.19;thr9e78hznbt;thr9e78
54.38;24.48;thqem2qq3fet;thqem2q
54.34;24.47;thqehw9hjf2z;thqehw9
54.37;24.49;thqem4r08fce;thqem4r
55.69;24.19;thr9e78hznbt;thr9e78
54.7;24.3;thqfhxxmf2hv;thqfhxx
54.6;24.48;thqg62qw24tt;thqg62q
55.74;24.21;thr9srk9knvt;thr9srk
54.34;24.47;thqehw9hjf2z;thqehw9
54.35;24.47;thqehy8knf2p;thqehy8
54.37;24.47;thqejnxh0f3x;thqejnx
54.38;24.48;thqem2qq3fet;thqem2q
54.51;24.42;thqfbmsbz1bw;thqfbms
54.35;24.46;thqehub3yf21;thqehub
54.66;24.41;thqfggdnw3cb;thqfggd
54.41;24.5;thqeqhh4ugh2;thqeqhh
54.32;24.47;thqehnds5drr;thqehnd
54.57;24.35;thqf9bb9j1hf;thqf9bb
55.62;24.21;thr99xm1ryvj;thr99xm
54.44;24.54;thqewg3gzgtp;thqewg3
54.34;24.47;thqehw9hjf2z;thqehw9
54.94;24.9;thrjdhyj4b25;thrjdhy
54.37;24.5;thqemhp4bg18;thqemhp
54.6;24.4;thqff3ys21te;thqff3y
55.77;24.48;threm06qr4wm;threm06
54.44;24.43;thqdyz3gpfjh;thqdyz3
54.61;24.46;thqg4svcc4rc;thqg4sv
54.39;24.46;thqejsv9ff71;thqejsv
54.39;24.43;thqdvxme4f5h;thqdvxm
54.66;24.41;thqfggdnw3cb;thqfggd
55.53;23.85;thprxtg8qf21;thprxtg
54.37;24.47;thqejnxh0f3x;thqejnx
54.37;24.52;thqempxp2g3s;thqempx
54.37;24.48;thqem0rn2f9t;thqem0r
54.37;24.47;thqejnxh0f3x;thqejnx
55.4;24.12;thr3hwvj1w51;thr3hwv
55.29;25.24;thrrd4ucwkuz;thrrd4u
55.65;24.19;thr9d7ehgnbt;thr9d7e
55.73;24.24;thr9uhv25p7w;thr9uhv
55.39;25.1;thrqu3mf0e1n;thrqu3m
55.81;24.16;thr9mypw5q3h;thr9myp
55.69;24.21;thr9er21rnbt;thr9er2
55.8;24.13;thr9mb8r6jz5;thr9mb8
54.47;24.41;thqdz7xye1b8;thqdz7x
54.63;24.29;thqf5ju7e235;thqf5ju
54.69;24.39;thqfu804136t;thqfu80
55.23;25.05;thrq8b1qb629;thrq8b1
55.23;25.17;thrr0y13bk0d;thrr0y1
55.6;24.78;thrscpn9vygt;thrscpn
55.35;25.25;thrres8eumnh;thrres8
55.31;25.27;thrrf8782mw0;thrrf87
55.16;25.1;thrnz1q615hy;thrnz1q
55.27;25.19;thrr39wqkk7q;thrr39w
55.28;25.21;thrr3vmdvk6w;thrr3vm
55.15;25.08;thrnwvxj84ve;thrnwvx
55.35;25.25;thrres8eumnh;thrres8
55.2;25.12;thrqbhgqt5xc;thrqbhg
55.4;25.23;thrrs8vp3sg1;thrrs8v
55.28;25.19;thrr3ctwmk6w;thrr3ct
55.12;25.13;thrnyqc0v56h;thrnyqc
55.14;25.08;thrnwtxtx4ge;thrnwtx
55.24;25.17;thrr1n09ck4d;thrr1n0
55.13;25.07;thrnweb7q4sm;thrnweb
55.31;25.27;thrrf8782mw0;thrrf87
55.28;25.19;thrr3ctwmk6w;thrr3ct
55.32;25.27;thrrfb6b3mt8;thrrfb6
55.13;25.07;thrnweb7q4sm;thrnweb
55.12;25.13;thrnyqc0v56h;thrnyqc
55.23;25.19;thrr2c9q2k2w;thrr2c9
55.25;25.22;thrr3ppv4k9g;thrr3pp
55.17;25.1;thrnz3md45hq;thrnz3m
55.31;25.27;thrrf8782mw0;thrrf87
55.33;25.26;thrren6n4mrd;thrren6
55.27;25.2;thrr3ew2ske7;thrr3ew
55.24;25.05;thrq900wc669;thrq900
55.35;25.27;thrrg828kmw0;thrrg82
55.19;25.11;thrnzghhk5ms;thrnzgh
55.19;25.03;thrnrus4k4m9;thrnrus
55.42;25.23;thrrt0gx7scc;thrrt0g
55.24;25.2;thrr35889kde;thrr358
55.46;25.26;thrrwn2wptkd;thrrwn2
55.35;25.25;thrres8eumnh;thrres8
